delta_pp,ci_low,ci_high,p_value,n_episodes,FISER_SR%,CEMIR_SR%,Model,Level,p_holm,significant
1.67,-1.67,5.33,0.4936,100,81.33,83.0,GPT_5,1,1.0,No
0.33,-4.67,5.33,1.0,100,18.0,18.33,GPT_5,2,1.0,No
-1.0,-3.33,1.0,0.56265,100,8.0,7.0,GPT_5,3,1.0,No
0.67,-1.67,3.33,0.80775,100,7.33,8.0,GPT_5,4,1.0,No
-0.33,-3.67,3.0,1.0,100,77.26,77.0,GPT_5_MINI,1,1.0,No
1.0,-3.67,5.67,0.78265,100,15.0,16.0,GPT_5_MINI,2,1.0,No
-3.0,-5.67,-0.67,0.0441,100,8.36,5.35,GPT_5_MINI,3,0.7056,No
-2.0,-4.33,0.0,0.1513,100,8.33,6.4,GPT_5_MINI,4,1.0,No
-5.0,-10.33,-0.0,0.07515,100,63.33,58.33,GPT_5_NANO,1,1.0,No
0.67,-2.67,4.33,0.8592,100,7.33,8.0,GPT_5_NANO,2,1.0,No
1.33,-1.0,3.67,0.4084,100,4.33,5.67,GPT_5_NANO,3,1.0,No
0.67,-2.33,3.67,0.82705,100,4.33,5.02,GPT_5_NANO,4,1.0,No
-1.67,-8.0,4.67,0.68,100,21.67,20.0,Qwen_3b,1,1.0,No
4.33,-0.67,10.0,0.13525,100,6.0,10.33,Qwen_3b,2,1.0,No
-0.33,-3.0,2.67,1.0,100,4.0,3.67,Qwen_3b,3,1.0,No
0.67,-2.67,4.33,0.85785,100,3.67,4.33,Qwen_3b,4,1.0,No
